File,Hash,Is Malware,Confidence,Malware Type,Risk Score,Analysis Method,Processing Time
attention.pdf,d87d482d5ae7960e...,False,0.00,Clean,0,VirusTotal,0.86s
circularlist.exe,9e1be4f020c7fc28...,False,0.00,Clean,0,"ML,Dynamic,VirusTotal",3.44s
Hello.exe,94e8c97dd2313778...,False,0.00,Clean,0,"ML,Dynamic,VirusTotal",3.03s
Malware.Calc.exe,300bb9ac1f607f99...,True,0.87,Trojan,0,"ML,Dynamic,VirusTotal",3.15s
node.exe,0adb9c625c0751cc...,False,0.00,Clean,0,"ML,Dynamic,VirusTotal",4.40s
Updated Price List for 2025 Business Year.exe,dbbf0fd1d25e6411...,True,0.80,Trojan,0,"ML,Dynamic,VirusTotal",2.79s
wildfire-test-pe-file.exe,d6f128eb0072d3bf...,True,0.80,Trojan,0,"ML,Dynamic,VirusTotal",2.70s
