File,Hash,Is Malware,Confidence,Malware Type,Risk Score,Analysis Method,Processing Time
circularlist.exe,9e1be4f020c7fc28...,False,0.00,Clean,0,"ML,Dynamic",3.36s
Hello.exe,94e8c97dd2313778...,False,0.00,Clean,0,"ML,Dynamic",4.22s
Malware.Calc.exe,300bb9ac1f607f99...,True,0.80,Generic,0,"ML,Dynamic",3.57s
node.exe,0adb9c625c0751cc...,False,0.00,Clean,0,"ML,Dynamic",4.33s
Updated Price List for 2025 Business Year.exe,dbbf0fd1d25e6411...,True,0.80,Generic,0,"ML,Dynamic",3.00s
wildfire-test-pe-file.exe,d6f128eb0072d3bf...,True,0.80,Generic,0,"ML,Dynamic",2.87s
